No.,Company,Location HQ,USState,Country,Continent,LaidOff,Date layoffs,Percentage,Company Size  Before Layoff,Company Size  After Layoff,Industry,Stage,Money Raised in millions,Year
163,Greenhouse,New York City,New York,USA,North America,120,17-04-2020,28,429,309,HR,Series D,110,2020
164,Loft,Sao Paulo,Unknown,Brazil,South America,47,17-04-2020,10,470,423,Real Estate,Series C,263,2020
165,People.ai,San Francisco,California,USA,North America,30,17-04-2020,18,167,137,Marketing,Series C,100,2020
166,QuintoAndar,Sao Paulo,Unknown,Brazil,South America,88,17-04-2020,8,1100,1012,Real Estate,Series D,335,2020
167,Sweetgreen,Los Angeles,California,USA,North America,35,17-04-2020,10,350,315,Food,Series I,478,2020
168,Tor,Boston,Massachusetts,USA,North America,13,17-04-2020,37,35,22,Security,Unknown,1,2020
169,Zilingo,Singapore,Unknown,Singapore,Asia,44,17-04-2020,5,880,836,Retail,Series D,307,2020
170,ConsenSys,New York City,New York,USA,North America,91,20-04-2020,14,650,559,Crypto,Unknown,10,2020
171,Forward,San Francisco,California,USA,North America,10,20-04-2020,3,333,323,Healthcare,Series C,100,2020
172,GumGum,Los Angeles,California,USA,North America,90,20-04-2020,25,360,270,Marketing,Series D,58,2020
173,Klook,Hong Kong,Unknown,Hong Kong,Asia,300,20-04-2020,15,2000,1700,Travel,Series D,521,2020
174,Komodo Health,San Francisco,California,USA,North America,23,20-04-2020,9,256,233,Healthcare,Series C,50,2020
175,Kueski,Guadalajara,Unknown,Mexico,North America,90,20-04-2020,30,300,210,Finance,Series B,38,2020
176,Movidesk,Blumenau,Unknown,Brazil,South America,33,20-04-2020,25,132,99,Support,Seed,1,2020
177,Bringg,Tel Aviv,Unknown,Israel,Asia,10,21-04-2020,10,100,90,Logistics,Series D,84,2020
178,Casper,New York City,New York,USA,North America,78,21-04-2020,21,371,293,Retail,Post-IPO,339,2020
179,Freshbooks,Toronto,Unknown,Canada,North America,38,21-04-2020,9,422,384,Finance,Series B,75,2020
180,Houzz,Palo Alto,California,USA,North America,155,21-04-2020,10,1550,1395,Consumer,Series E,613,2020
181,Lending Club,San Francisco,California,USA,North America,460,21-04-2020,30,1533,1073,Finance,Post-IPO,392,2020
182,Patreon,San Francisco,California,USA,North America,30,21-04-2020,13,231,201,Media,Series D,165,2020
183,RealSelf,Seattle,Washington,USA,North America,40,21-04-2020,13,308,268,Healthcare,Series B,42,2020
185,Ike,San Francisco,California,USA,North America,10,22-04-2020,14,71,61,Transportation,Series A,52,2020
186,Magic Leap,Miami,Florida,USA,North America,1000,22-04-2020,50,2000,1000,Consumer,Series E,2600,2020
187,When I Work,Minneapolis,Minnesota,USA,North America,55,22-04-2020,35,157,102,HR,Series B,24,2020
188,Oscar Health,New York City,New York,USA,North America,70,23-04-2020,5,1400,1330,Healthcare,Unknown,Null,2020
189,Sisense,New York City,New York,USA,North America,80,23-04-2020,9,889,809,Data,Series F,274,2020
190,StockX,Detroit,Michigan,USA,North America,100,23-04-2020,12,833,733,Retail,Series C,160,2020
191,Zenefits,San Francisco,California,USA,North America,87,23-04-2020,15,580,493,HR,Series C,583,2020
192,Ada Support,Toronto,Unknown,Canada,North America,36,24-04-2020,23,157,121,Support,Series B,60,2024
193,Divergent 3D,Los Angeles,California,USA,North America,57,24-04-2020,36,158,101,Transportation,Series B,88,2020
194,Horizn Studios,Berlin,Berlin,Germany,Europe,15,24-04-2020,25,60,45,Travel,Series B,30,2020
195,Jiobit,Chicago,Illinois,USA,North America,6,24-04-2020,21,29,23,Consumer,Unknown,12,2020
196,Lighter Capital,Seattle,Washington,USA,North America,18,24-04-2020,22,82,64,Finance,Series B,15,2020
197,TutorMundi,Sao Paulo,Unknown,Brazil,South America,4,24-04-2020,100,4,0,Education,Series A,2,2020
198,UPshow,Chicago,Illinois,USA,North America,19,24-04-2020,30,63,44,Marketing,Series A,7,2020
199,Welkin Health,San Francisco,California,USA,North America,10,24-04-2020,33,30,20,Healthcare,Series B,29,2020
200,Submittable,Missoula,Montana,USA,North America,30,25-04-2020,20,150,120,Other,Series B,17,2020
201,Automation Anything,San Jose,California,USA,North America,260,27-04-2020,10,2600,2340,Other,Series B,840,2020
202,JetClosing,Seattle,Washington,USA,North America,20,27-04-2020,20,100,80,Real Estate,Series A,24,2020
203,App Annie,San Francisco,California,USA,North America,80,28-04-2020,18,444,364,Data,Unknown,156,2020
204,Deliveroo,London,Unknown,UK,Europe,367,28-04-2020,15,2447,2080,Food,Series G,1500,2020
205,OpenX,Los Angeles,California,USA,North America,35,28-04-2020,15,233,198,Marketing,Unknown,70,2020
206,PayJoy,San Francisco,California,USA,North America,27,28-04-2020,25,108,81,Finance,Series B,71,2020
207,Shipsi,Los Angeles,California,USA,North America,20,28-04-2020,50,40,20,Retail,Seed,2,2020
208,TripAdvisor,Boston,Massachusetts,USA,North America,900,28-04-2020,25,3600,2700,Travel,Post-IPO,3,2020
209,Kayak / OpenTable,Stamford,Connecticut,USA,North America,160,29-04-2020,8,2000,1840,Travel,Acquired,229,2020
210,Lime,San Francisco,California,USA,North America,80,29-04-2020,13,615,535,Transportation,Series D,765,2020
211,Lyft,San Francisco,California,USA,North America,982,29-04-2020,17,5776,4794,Transportation,Post-IPO,4900,2020
212,TranSan Francisco Bay Areaix,New York City,New York,USA,North America,24,29-04-2020,10,240,216,Logistics,Series D,128,2020
213,Culture Trip,London,Unknown,UK,Europe,95,01-05-2020,32,297,202,Media,Series B,102,2020
214,Namely,New York City,New York,USA,North America,110,01-05-2020,40,275,165,HR,Series E,217,2020
215,Sandbox VR,San Francisco,California,USA,North America,80,01-05-2020,80,100,20,Consumer,Series A,82,2020
216,TheSkimm,New York City,New York,USA,North America,26,01-05-2020,20,130,104,Media,Series C,28,2020
217,Trax,Tel Aviv,Unknown,Israel,Asia,120,03-05-2020,10,1200,1080,Retail,Series D,386,2020
218,Careem,Dubai,Unknown,United Arabian Emirates,Asia,536,04-05-2020,31,1729,1193,Transportation,Acquired,771,2020
219,CureFit,Bengaluru,Unknown,India,Asia,800,04-05-2020,16,5000,4200,Fitness,Series D,404,2020
220,Deputy,Sydney,Unknown,Australia,Oceana,60,04-05-2020,30,200,140,HR,Series B,106,2020
221,Element AI,Montreal,Unknown,Canada,North America,62,04-05-2020,15,413,351,Other,Series B,257,2020
222,Loopio,Toronto,Unknown,Canada,North America,11,04-05-2020,8,138,127,Sales,Series A,11,2020
223,Oriente,Hong Kong,Unknown,Hong Kong,Asia,400,04-05-2020,20,2000,1600,Finance,Series B,175,2020
224,Veriff,Tallinn,Unknown,Estonia,Europe,63,04-05-2020,21,300,237,Security,Series A,7,2020
225,Airbnb,San Francisco,California,USA,North America,1900,05-05-2020,25,7600,5700,Travel,Private Equity,5400,2020
226,Andela,New York City,New York,USA,North America,135,05-05-2020,10,1350,1215,HR,Series D,181,2020
227,Juul,San Francisco,California,USA,North America,900,05-05-2020,30,3000,2100,Consumer,Unknown,1500,2020
228,Stack Overflow,New York City,New York,USA,North America,40,05-05-2020,15,267,227,HR,Series D,68,2020
229,Workable,Boston,Massachusetts,USA,North America,25,05-05-2020,10,250,225,HR,Series C,84,2020
230,Rubicon Project,Los Angeles,California,USA,North America,50,06-05-2020,8,625,575,Marketing,Post-IPO,60,2020
231,Segment,San Francisco,California,USA,North America,50,06-05-2020,10,500,450,Data,Series D,283,2020
232,Uber,San Francisco,California,USA,North America,3700,06-05-2020,14,26429,22729,Transportation,Post-IPO,24700,2020
233,Flywire,Boston,Massachusetts,USA,North America,60,07-05-2020,12,500,440,Finance,Series E,263,2020
234,Glassdoor,San Francisco,California,USA,North America,300,07-05-2020,30,1000,700,HR,Acquired,204,2020
235,Jump,New York City,New York,USA,North America,500,07-05-2020,100,500,0,Transportation,Acquired,11,2020
236,Numbrs,Zurich,Unknown,Switzerland,Europe,62,07-05-2020,50,124,62,Finance,Series B,78,2020
237,Tally,San Francisco,California,USA,North America,28,07-05-2020,23,122,94,Finance,Series C,92,2020
238,N26,New York City,New York,USA,North America,9,08-05-2020,1,900,891,Finance,Series D,782,2020
239,Cadre,New York City,New York,USA,North America,28,11-05-2020,25,112,84,Real Estate,Series C,133,2020
240,Revolut,London,Unknown,UK,Europe,60,11-05-2020,3,2000,1940,Finance,Series D,837,2020
241,Hireology,Chicago,Illinois,USA,North America,36,12-05-2020,17,212,176,HR,Series D,52,2020
242,Mixpanel,San Francisco,California,USA,North America,65,12-05-2020,19,342,277,Data,Series B,77,2020
243,Top Hat,Toronto,Unknown,Canada,North America,16,12-05-2020,3,533,517,Education,Series D,104,2020
244,Zeus Living,San Francisco,California,USA,North America,73,12-05-2020,50,146,73,Real Estate,Series B,79,2020
245,Deliv,Menlo Park,California,USA,North America,669,13-05-2020,100,669,0,Retail,Series C,80,2020
246,Kickstarter,New York City,New York,USA,North America,25,13-05-2020,18,139,114,Finance,Unknown,10,2020
247,Mercos,Joinville,Unknown,Brazil,South America,51,13-05-2020,40,128,77,Sales,Unknown,2,2020
248,Cruise,San Francisco,California,USA,North America,150,14-05-2020,8,1875,1725,Transportation,Acquired,5300,2020
249,Integral Ad Science,New York City,New York,USA,North America,70,14-05-2020,10,700,630,Marketing,Acquired,116,2020
250,Ridecell,San Francisco,California,USA,North America,35,14-05-2020,15,233,198,Transportation,Series B,73,2020
251,Lattice,San Francisco,California,USA,North America,16,15-05-2020,10,160,144,HR,Series C,49,2020
252,Lendingkart,Ahmedabad,Unknown,India,Asia,500,15-05-2020,50,1000,500,Finance,Unknown,200,2020
253,Zomato,Gurugram,Unknown,India,Asia,520,15-05-2020,13,4000,3480,Food,Series J,914,2020
254,Swiggy,Bengaluru,Unknown,India,Asia,1100,18-05-2020,14,7857,6757,Food,Series I,1600,2020
255,Uber,San Francisco,California,USA,North America,3000,18-05-2020,13,23077,20077,Transportation,Post-IPO,24700,2020
256,WeWork,New Delhi,Unknown,India,Asia,100,18-05-2020,20,500,400,Real Estate,Series H,19500,2020
257,Livspace,Bengaluru,Unknown,India,Asia,450,19-05-2020,15,3000,2550,Retail,Series D,157,2020
258,Pollen,London,Unknown,UK,Europe,69,19-05-2020,31,223,154,Travel,Series B,88,2020
259,Intercom,San Francisco,California,USA,North America,39,20-05-2020,6,650,611,Support,Series D,240,2020
260,Ola,Bengaluru,Unknown,India,Asia,1400,20-05-2020,35,4000,2600,Transportation,Series J,3800,2020
261,Samsara,San Francisco,California,USA,North America,300,20-05-2020,18,1667,1367,Logistics,Series F,530,2020
262,ShareChat,Bengaluru,Unknown,India,Asia,101,20-05-2020,25,404,303,Marketing,Series D,222,2020
263,SoFi,San Francisco,California,USA,North America,112,20-05-2020,7,1600,1488,Finance,Private Equity,2500,2020
264,Stay Alfred,Spokane,Washington,USA,North America,221,20-05-2020,100,221,0,Travel,Series B,62,2020
265,Cvent,Washington DC,District of Columbia,USA,North America,400,21-05-2020,10,4000,3600,Marketing,Acquired,146,2020
266,Glitch,New York City,New York,USA,North America,18,21-05-2020,36,50,32,Product,Series A,30,2020
267,PickYourTrail,Chennai,Unknown,India,Asia,70,21-05-2020,35,200,130,Travel,Series A,3,2020
268,Bluprint,Denver,Colorado,USA,North America,137,26-05-2020,100,137,0,Education,Acquired,108,2020
269,Uber,Bengaluru,Unknown,India,Asia,600,26-05-2020,23,2609,2009,Transportation,Post-IPO,24700,2020
270,Ebanx,Curitiba,Unknown,Brazil,South America,62,27-05-2020,8,775,713,Finance,Unknown,30,2020
271,Instructure,Salt Lake City,Utah,USA,North America,150,27-05-2020,12,1250,1100,Education,Acquired,89,2020
272,BookMyShow,Mumbai,Unknown,India,Asia,270,28-05-2020,18,1500,1230,Consumer,Unknown,224,2020
273,Culture Amp,Melbourne,Unknown,Australia,Oceana,36,28-05-2020,8,450,414,HR,Series E,157,2020
274,The Sill,New York City,New York,USA,North America,20,28-05-2020,25,80,60,Retail,Series A,7,2020
275,TrueCar,Los Angeles,California,USA,North America,219,28-05-2020,30,730,511,Transportation,Post-IPO,340,2020
276,Brex,San Francisco,California,USA,North America,62,29-05-2020,15,413,351,Finance,Series C,732,2020
277,Loftium,Seattle,Washington,USA,North America,32,29-05-2020,60,53,21,Real Estate,Series A,17,2020
278,CrowdStreet,Portland,Oregon,USA,North America,24,01-06-2020,22,109,85,Real Estate,Series C,24,2020
279,Stitch Fix,San Francisco,California,USA,North America,1400,01-06-2020,18,7778,6378,Retail,Post-IPO,79,2020
280,Descartes Labs,Santa Fe,New Mexico,USA,North America,12,02-06-2020,16,75,63,Data,Series B,58,2020
281,Fundbox,San Francisco,California,USA,North America,14,02-06-2020,15,93,79,Finance,Series C,453,2020
282,Rivian,Detroit,Michigan,USA,North America,40,02-06-2020,2,2000,1960,Transportation,Post-IPO,10700,2020
283,Credit Sesame,Mountain View,California,USA,North America,22,03-06-2020,14,157,135,Finance,Series F,120,2020
284,Monzo,London,Unknown,UK,Europe,120,03-06-2020,8,1500,1380,Finance,Series F,324,2020
285,SpotHero,Chicago,Illinois,USA,North America,40,03-06-2020,21,190,150,Transportation,Series D,117,2020
286,Builder,Los Angeles,California,USA,North America,39,04-06-2020,14,279,240,Product,Series A,29,2020
287,Lastline,Redwood City,California,USA,North America,50,04-06-2020,40,125,75,Security,Series C,52,2020
288,Ethos Life,San Francisco,California,USA,North America,18,05-06-2020,14,129,111,Finance,Series C,106,2020
289,The Athletic,San Francisco,California,USA,North America,46,05-06-2020,8,575,529,Media,Series D,139,2020
290,Branch,New York City,New York,USA,North America,3,11-06-2020,27,11,8,Retail,Seed,2,2020
291,SynapseFI,San Francisco,California,USA,North America,63,12-06-2020,48,131,68,Finance,Series B,50,2020
292,Uber,Amsterdam,Unknown,Netherlands,Europe,225,12-06-2020,25,900,675,Transportation,Post-IPO,Null,2020
293,Grab,Singapore,Unknown,Singapore,Asia,360,16-06-2020,5,7200,6840,Transportation,Series I,Null,2020
294,PaisaBazaar,Gurugram,Unknown,India,Asia,1500,16-06-2020,50,3000,1500,Finance,Series G,496,2020
295,Redox,Madison,Wisconsin,USA,North America,44,16-06-2020,25,176,132,Healthcare,Series C,50,2020
296,Splunk,San Jose,California,USA,North America,70,16-06-2020,1,7000,6930,Data,Post-IPO,40,2020
297,Navi,Bengaluru,Unknown,India,Asia,40,17-06-2020,25,160,120,Finance,Private Equity,582,2020
298,Intuit,Mountain View,California,USA,North America,715,22-06-2020,7,10214,9499,Finance,Post-IPO,18,2020
299,Dark,San Francisco,California,USA,North America,6,23-06-2020,100,6,0,Product,Seed,3,2020
300,Gojek,Jakarta,Unknown,Indonesia,Asia,430,23-06-2020,9,4778,4348,Transportation,Series F,4800,2020
301,ScaleFactor,Austin,Texas,USA,North America,90,23-06-2020,90,100,10,Finance,Series C,103,2020
302,Sonos,New York City,New York,USA,North America,174,24-06-2020,12,1450,1276,Consumer,Post-IPO,455,2020
303,Bounce,Bengaluru,Unknown,India,Asia,130,29-06-2020,22,591,461,Transportation,Series D,214,2020
304,Katerra,Menlo Park,California,USA,North America,400,29-06-2020,7,5714,5314,Construction,Series E,1300,2020
305,G2,Chicago,Illinois,USA,North America,17,30-06-2020,5,340,323,Marketing,Series C,101,2020
306,Zilingo,Singapore,Unknown,Singapore,Asia,100,09-07-2020,12,833,733,Retail,Series D,307,2020
307,Skyscanner,Edinburgh,Unknown,UK,Europe,300,14-07-2020,20,1500,1200,Travel,Acquired,197,2020
308,Optimizely,San Francisco,California,USA,North America,60,15-07-2020,15,400,340,Marketing,Series D,251,2020
309,Lighter Capital,Seattle,Washington,USA,North America,22,20-07-2020,49,45,23,Finance,Series B,15,2020
310,LinkedIn,Sunnyvale,California,USA,North America,960,21-07-2020,6,16000,15040,HR,Acquired,154,2020
311,Checkr,San Francisco,California,USA,North America,64,23-07-2020,12,533,469,HR,Series D,309,2020
312,Swiggy,Bengaluru,Unknown,India,Asia,350,27-07-2020,5,7000,6650,Food,Series I,1600,2020
313,Zeitgold,Berlin,Berlin,Germany,Europe,75,27-07-2020,72,104,29,Finance,Series B,60,2020
314,Procore,Los Angeles,California,USA,North America,180,28-07-2020,9,2000,1820,Construction,Unknown,649,2020
315,Buy.com,San Mateo,California,USA,North America,87,30-07-2020,100,87,0,Retail,Acquired,42,2020
316,Thriver,Toronto,Unknown,Canada,North America,75,06-08-2020,50,150,75,Food,Series B,53,2020
317,Glossier,New York City,New York,USA,North America,150,07-08-2020,38,395,245,Retail,Series D,186,2020
318,Eatsy,Singapore,Unknown,Singapore,Asia,20,08-08-2020,100,20,0,Food,Seed,1,2020
319,Mozilla,San Francisco,California,USA,North America,250,11-08-2020,25,1000,750,Consumer,Unknown,2,2020
320,Docly,London,Unknown,UK,Europe,8,19-08-2020,80,10,2,Healthcare,Seed,16,2020
321,SaleSan Francisco Bay Areaorce,San Francisco,California,USA,North America,1000,26-08-2020,2,50000,49000,Sales,Post-IPO,65,2020
322,MakeMyTrip,New Delhi,Unknown,India,Asia,350,31-08-2020,10,3500,3150,Travel,Post-IPO,548,2020
323,GoBear,Singapore,Unknown,Singapore,Asia,22,01-09-2020,11,200,178,Finance,Unknown,97,2020
324,Waze,Palo Alto,California,USA,North America,30,09-09-2020,5,600,570,Transportation,Acquired,67,2020
325,NS8,Las Vegas,Nevada,USA,North America,240,11-09-2020,95,253,13,Data,Series A,158,2020
326,Alto Pharmacy,San Francisco,California,USA,North America,47,29-09-2020,6,783,736,Healthcare,Series D,356,2020
327,GetYourGuide,Berlin,Berlin,Germany,Europe,90,14-10-2020,17,529,439,Travel,Series E,656,2020
328,Knotel,New York City,New York,USA,North America,20,29-10-2020,8,250,230,Real Estate,Series C,560,2020
329,Worksmith,Austin,Texas,USA,North America,30,09-11-2020,50,60,30,Retail,Unknown,4,2020
330,Bridge Connector,Nashville,Tennessee,USA,North America,154,17-11-2020,100,154,0,Healthcare,Series B,45,2020
331,Aya,Toronto,Unknown,Canada,North America,5,19-11-2020,25,20,15,Finance,Seed,3,2020
332,Breather,Montreal,Unknown,Canada,North America,120,16-12-2020,80,150,30,Real Estate,Series D,131,2020
333,Dropbox,San Francisco,California,USA,North America,315,13-01-2021,15,2100,1785,Other,Post-IPO,1700,2021
334,Pocketmath,Singapore,Unknown,Singapore,Asia,21,20-01-2021,100,21,0,Marketing,Unknown,20,2021
335,Postmates,San Francisco,California,USA,North America,180,23-01-2021,15,1200,1020,Food,Acquired,763,2021
336,Hubba,Toronto,Unknown,Canada,North America,45,01-02-2021,100,45,0,Retail,Series B,61,2021
337,Quandoo,Berlin,Berlin,Germany,Europe,87,03-02-2021,20,435,348,Food,Acquired,39,2021
338,Bounce,Bengaluru,Unknown,India,Asia,200,22-02-2021,40,500,300,Transportation,Series D,214,2021
339,New Relic,San Francisco,California,USA,North America,160,06-04-2021,7,2286,2126,Infrastructure,Post-IPO,215,2021
340,Katerra,Menlo Park,California,USA,North America,2434,01-06-2021,100,2434,0,Construction,Unknown,1600,2021
341,Flockjay,San Francisco,California,USA,North America,37,24-08-2021,50,74,37,Education,Series A,14,2021
342,Treehouse,Portland,Oregon,USA,North America,41,14-09-2021,90,46,5,Education,Series B,12,2021
343,Zillow,Seattle,Washington,USA,North America,2000,02-11-2021,25,8000,6000,Real Estate,Post-IPO,97,2021
344,BitTitan,Seattle,Washington,USA,North America,70,18-11-2021,27,259,189,Data,Acquired,46,2021
345,Better.com,New York City,New York,USA,North America,900,01-12-2021,9,10000,9100,Real Estate,Unknown,905,2021
346,Delivery Hero,Berlin,Berlin,Germany,Europe,300,22-12-2021,7,4286,3986,Food,Post-IPO,Null,2021
347,Glossier,New York City,New York,USA,North America,80,26-01-2022,33,242,162,Consumer,Series E,266,2022
349,Rhino,New York City,New York,USA,North America,57,03-02-2022,20,285,228,Real Estate,Unknown,133,2022
350,Peloton,New York City,New York,USA,North America,2800,08-02-2022,20,14000,11200,Fitness,Post-IPO,1900,2022
351,Daily Harvest,New York City,New York,USA,North America,60,10-02-2022,20,300,240,Food,Series D,120,2022
352,Hopin,London,Unknown,UK,Europe,138,10-02-2022,12,1150,1012,Other,Series D,1000,2022
353,Homie,Salt Lake City,Utah,USA,North America,119,14-02-2022,29,410,291,Real Estate,Series B,35,2022
354,Liv Up,Sao Paulo,Unknown,Brazil,South America,100,16-02-2022,15,667,567,Food,Series D,118,2022
355,Virgin Hyperloop,Los Angeles,California,USA,North America,111,21-02-2022,50,222,111,Transportation,Unknown,368,2022
356,Wish,San Francisco,California,USA,North America,190,01-03-2022,15,1267,1077,Retail,Post-IPO,1600,2022
357,Hyperscience,New York City,New York,USA,North America,100,03-03-2022,25,400,300,Data,Series E,289,2022
358,Adaptive Biotechnology,Seattle,Washington,USA,North America,100,08-03-2022,12,833,733,Healthcare,Post-IPO,406,2022
359,Better.com,New York City,New York,USA,North America,3000,08-03-2022,33,9091,6091,Real Estate,Unknown,905,2022
360,Knock,New York City,New York,USA,North America,115,15-03-2022,46,250,135,Real Estate,Unknown,654,2022
361,Trell,Bengaluru,Unknown,India,Asia,300,15-03-2022,50,600,300,Retail,Series B,62,2022
362,Storytel,Stockholm,Unknown,Sweden,Europe,100,17-03-2022,10,1000,900,Media,Post-IPO,275,2022
363,Gopuff,Philadelphia,Pennsylvania,USA,North America,450,29-03-2022,3,15000,14550,Food,Series H,3400,2022
364,Thinkific,Vancouver,Unknown,Canada,North America,100,29-03-2022,20,500,400,Education,Post-IPO,22,2022
365,Rasa,Berlin,Berlin,Germany,Europe,59,30-03-2022,40,148,89,Data,Series B,40,2022
366,Legible,Vancouver,Unknown,Canada,North America,23,04-04-2022,38,61,38,Media,Post-IPO,3,2022
367,Unacademy,Bengaluru,Unknown,India,Asia,1000,07-04-2022,17,5882,4882,Education,Series H,838,2022
368,Food52,New York City,New York,USA,North America,20,08-04-2022,10,200,180,Food,Acquired,176,2022
369,Rad Power Bikes,Seattle,Washington,USA,North America,100,12-04-2022,14,714,614,Transportation,Series D,329,2022
370,Ahead,San Francisco,California,USA,North America,44,14-04-2022,100,44,0,Healthcare,Unknown,9,2022
371,Blend,San Francisco,California,USA,North America,200,19-04-2022,10,2000,1800,Finance,Post-IPO,665,2022
372,QuintoAndar,Sao Paulo,Unknown,Brazil,South America,160,19-04-2022,4,4000,3840,Real Estate,Series E,755,2022
373,Facily,Sao Paulo,Unknown,Brazil,South America,260,20-04-2022,30,867,607,Retail,Series D,502,2022
374,Xiaohongshu,Shanghai,Unknown,China,Asia,180,21-04-2022,9,2000,1820,Consumer,Series E,917,2022
375,Bonsai,Toronto,Unknown,Canada,North America,29,26-04-2022,34,85,56,Retail,Series A,27,2022
376,Robinhood,Menlo Park,California,USA,North America,340,26-04-2022,9,3778,3438,Finance,Post-IPO,5600,2022
377,Domestika,Berkeley,California,USA,North America,150,28-04-2022,19,789,639,Education,Series D,130,2022
378,Avo,Tel Aviv,Unknown,Israel,Asia,500,01-05-2022,67,746,246,Food,Series B,45,2022
379,Cameo,Chicago,Illinois,USA,North America,87,04-05-2022,25,348,261,Consumer,Unknown,165,2022
380,Mainstreet,San Francisco,California,USA,North America,45,04-05-2022,30,150,105,Finance,Series A,64,2022
381,SEND,Sydney,Unknown,Australia,Oceana,300,04-05-2022,100,300,0,Food,Seed,3,2022
382,Mural,San Francisco,California,USA,North America,90,05-05-2022,10,900,810,Product,Series C,192,2022
383,On Deck,San Francisco,California,USA,North America,72,05-05-2022,25,288,216,Education,Series A,20,2022
384,Vedantu,Bengaluru,Unknown,India,Asia,200,05-05-2022,3,6667,6467,Education,Series E,292,2022
385,Reef,Miami,Florida,USA,North America,750,06-05-2022,5,15000,14250,Transportation,Unknown,Null,2022
386,Meero,Paris,Unknown,France,Europe,350,09-05-2022,50,700,350,Other,Series C,293,2022
387,Vroom,New York City,New York,USA,North America,270,09-05-2022,14,1929,1659,Transportation,Post-IPO,Null,2022
388,Carvana,Phoenix,Arizona,USA,North America,2500,10-05-2022,12,20833,18333,Transportation,Post-IPO,Null,2022
389,Doma,Huntington Beach,California,USA,North America,310,10-05-2022,15,2067,1757,Finance,Post-IPO,679,2022
390,Latch,New York City,New York,USA,North America,30,10-05-2022,6,500,470,Security,Post-IPO,342,2022
391,Pollen,London,Unknown,UK,Europe,200,10-05-2022,33,606,406,Travel,Series C,238,2022
392,DataRobot,Boston,Massachusetts,USA,North America,70,11-05-2022,7,1000,930,Data,Series G,1000,2022
393,AliExpress Russia,Moscow,Unknown,Russia,Europe,400,14-05-2022,40,1000,600,Retail,Acquired,60,2022
394,Zak,Sao Paulo,Unknown,Brazil,South America,100,16-05-2022,40,250,150,Food,Series A,29,2022
395,Kry,Stockholm,Unknown,Sweden,Europe,100,17-05-2022,10,1000,900,Healthcare,Series D,568,2022
396,Netflix,Los Gatos,California,USA,North America,150,17-05-2022,1,15000,14850,Media,Post-IPO,121900,2022
397,Picsart,Miami,Florida,USA,North America,90,17-05-2022,8,1125,1035,Consumer,Series C,195,2022
398,Vedantu,Bengaluru,Unknown,India,Asia,424,18-05-2022,7,6057,5633,Education,Series E,292,2022
399,Cars24,Gurugram,Unknown,India,Asia,600,19-05-2022,6,10000,9400,Transportation,Series G,1300,2022
400,Latch,New York City,New York,USA,North America,130,20-05-2022,28,464,334,Security,Post-IPO,342,2022
401,Outside,Boulder,Colorado,USA,North America,87,20-05-2022,15,580,493,Media,Series B,174,2022
402,Skillz,San Francisco,California,USA,North America,70,20-05-2022,10,700,630,Consumer,Post-IPO,287,2022
403,MFine,Bengaluru,Unknown,India,Asia,600,21-05-2022,75,800,200,Healthcare,Series C,97,2022
404,Airtime,New York City,New York,USA,North America,30,23-05-2022,20,150,120,Consumer,Series B,33,2022
405,BeyondMinds,Tel Aviv,Unknown,Israel,Asia,65,23-05-2022,100,65,0,Data,Series A,16,2022
406,Buenbit,Buenos Aires,Unknown,Argentina,South America,80,23-05-2022,45,178,98,Crypto,Series A,11,2022
407,ClickUp,San Diego,California,USA,North America,60,23-05-2022,7,857,797,Other,Series C,537,2022
408,Klarna,Stockholm,Unknown,Sweden,Europe,700,23-05-2022,10,7000,6300,Finance,Unknown,3700,2022
409,Gorillas,Berlin,Berlin,Germany,Europe,300,24-05-2022,50,600,300,Food,Series C,1300,2022
410,Bolt,San Francisco,California,USA,North America,240,25-05-2022,27,889,649,Finance,Series E,1300,2022
411,Coterie Insurance,Cincinnati,Ohio,USA,North America,30,25-05-2022,20,150,120,Finance,Series B,70,2022
412,Kontist,Berlin,Berlin,Germany,Europe,50,25-05-2022,25,200,150,Finance,Series B,53,2022
413,Lacework,Mountain View,California,USA,North America,300,25-05-2022,20,1500,1200,Security,Series D,1900,2022
414,Nuri,Berlin,Berlin,Germany,Europe,45,25-05-2022,20,225,180,Finance,Series B,42,2022
415,Bitso,Mexico City,Unknown,Mexico,North America,80,26-05-2022,11,727,647,Crypto,Series C,378,2022
416,VTEX,Sao Paulo,Unknown,Brazil,South America,200,26-05-2022,13,1538,1338,Retail,Post-IPO,365,2022
417,FrontRow,Bengaluru,Unknown,India,Asia,145,27-05-2022,30,483,338,Education,Series A,17,2022
418,Uncapped,London,Unknown,UK,Europe,29,27-05-2022,26,112,83,Finance,Unknown,118,2022
419,Mobile Premier League,Bengaluru,Unknown,India,Asia,100,30-05-2022,10,1000,900,Consumer,Series E,375,2022
420,SumUp,Sao Paulo,Unknown,Brazil,South America,100,30-05-2022,3,3333,3233,Finance,Unknown,50,2022
421,SWVL,Dubai,Unknown,United Arabian Emirates,Asia,400,30-05-2022,32,1250,850,Transportation,Post-IPO,132,2022
422,BookClub,Salt Lake City,Utah,USA,North America,12,31-05-2022,25,48,36,Education,Series A,26,2022
423,Tomo,Stamford,Connecticut,USA,North America,44,31-05-2022,33,133,89,Finance,Series A,110,2022
424,2TM,Sao Paulo,Unknown,Brazil,South America,90,01-06-2022,12,750,660,Crypto,Unknown,250,2022
