No.,Company,Location HQ,USState,Country,Continent,LaidOff,Date layoffs,Percentage,Company Size  Before Layoff,Company Size  After Layoff,Industry,Stage,Money Raised in millions,Year
1118,Dukaan,Bengaluru,Unknown,India,Asia,56,15-03-2023,30,187,131,Retail,Series A,17,2023
1119,TradeWindow,Auckland,Unknown,New Zealand,Oceana,25,15-03-2023,30,83,58,Finance,Series B,24,2023
1120,Course Hero,Redwood City,California,USA,North America,42,16-03-2023,15,280,238,Education,Series C,477,2023
1121,Freshworks,San Mateo,California,USA,North America,114,16-03-2023,2,5700,5586,Support,Post-IPO,484,2023
1122,Leafly,Seattle,Washington,USA,North America,40,16-03-2023,21,190,150,Retail,Post-IPO,71,2023
1123,Livspace,Bengaluru,Unknown,India,Asia,100,17-03-2023,2,5000,4900,Retail,Series F,431,2023
1124,Symend,Calgary,Unknown,Canada,North America,50,17-03-2023,25,200,150,Other,Series C,148,2023
1126,FreshBooks,Toronto,Unknown,Canada,North America,80,21-03-2023,10,800,720,Finance,Unknown,331,2023
1127,Smallcase,Bengaluru,Unknown,India,Asia,15,21-03-2023,4,375,360,Finance,Series C,62,2023
1128,Workhuman,Dublin,Unknown,Ireland,Europe,130,21-03-2023,10,1300,1170,HR,Unknown,131,2023
1129,Glassdoor,San Francisco,California,USA,North America,140,22-03-2023,15,933,793,HR,Acquired,204,2023
1130,Indeed,Austin,Texas,USA,North America,2200,22-03-2023,15,14667,12467,HR,Acquired,5,2023
1131,Wejo,Chester,Unknown,UK,Europe,40,22-03-2023,16,250,210,Transportation,Post-IPO,376,2023
1132,Slite,Paris,Unknown,France,Europe,10,23-03-2023,25,40,30,Other,Series A,15,2023
1133,AEye,San Francisco,California,USA,North America,46,28-03-2023,33,139,93,Transportation,Post-IPO,314,2023
1134,Lucid Motors,Newark,California,USA,North America,1300,28-03-2023,18,7222,5922,Transportation,Post-IPO,8300,2023
1135,Electronic Arts,Redwood City,California,USA,North America,780,29-03-2023,6,13000,12220,Consumer,Post-IPO,2,2023
1136,iCAD,Nashua,New Hampshire,USA,North America,23,29-03-2023,28,82,59,Healthcare,Post-IPO,59,2023
1137,Crossbeam,Philadelphia,Pennsylvania,USA,North America,17,30-03-2023,15,113,96,Sales,Series C,116,2023
1138,FanClash,Gurugram,Unknown,India,Asia,100,30-03-2023,75,133,33,Consumer,Series B,50,2023
